#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
4070,-58452.81919457228,306.97140549815174,1.055743278169701
4080,-58373.782913955045,304.83568598799366,1.0487866328164215
4090,-58362.657913955045,305.7628250673403,1.0487866328164215
4100,-58204.63394461037,300.9793043974971,1.0474236142746434
4110,-58293.75894461037,303.27705923393233,1.0474236142746434
4120,-58057.50894461037,291.6932984643643,1.0474236142746434
4130,-58371.159090031055,303.36026377799266,1.0504988252280862
4140,-58564.909090031055,311.39104813228454,1.0504988252280862
4150,-58355.909090031055,303.72693560466183,1.0504988252280862
4160,-58488.659090031055,308.38841438635893,1.0504988252280862
4170,-58431.221590031055,305.0928593646278,1.0504988252280862
4180,-58400.284090031055,303.34054803036025,1.0504988252280862
4190,-58520.034090031055,308.4427940688497,1.0504988252280862
4200,-58315.034090031055,300.0551692652725,1.0504988252280862
4210,-58365.284090031055,303.6958457555663,1.0504988252280862
4220,-58494.784090031055,308.6816383659462,1.0504988252280862
4230,-58384.159090031055,305.1070784619009,1.0504988252280862
4240,-58196.659090031055,298.7967540993412,1.0504988252280862
4250,-58344.409090031055,305.0755260913298,1.0504988252280862
4260,-58257.534090031055,302.661336544679,1.0504988252280862
4270,-58298.909090031055,303.24967254867767,1.0504988252280862
4280,-58333.743246246944,304.1901641266064,1.047583505001176
4290,-58252.868246246944,300.6573214625458,1.047583505001176
4300,-58288.430746246944,303.315459543856,1.047583505001176
4310,-58301.118246246944,301.7171611061772,1.047583505001176
4320,-58328.930746246944,304.4871950399948,1.047583505001176
4330,-58440.75859049894,307.55277911482506,1.0555362335015444
4340,-58413.38359049894,305.61070580896876,1.0555362335015444
4350,-58550.9859059318,311.4107159696454,1.0546046478394882
4360,-58354.2359059318,302.95685985006855,1.0546046478394882
4370,-58394.5484059318,306.23444104465335,1.0546046478394882
4380,-58469.4859059318,309.927758931292,1.0546046478394882
4390,-58536.3609059318,311.86644991054743,1.0546046478394882
4400,-58371.2049381783,304.7988329261071,1.054071807552751
4410,-58567.4549381783,313.2548557059584,1.054071807552751
4420,-58505.3924381783,308.83033477522724,1.054071807552751
4430,-58527.008500123746,310.60598435335686,1.0553224029324566
4440,-58600.071000123746,313.05817617953244,1.0553224029324566
4450,-58453.869573507225,307.58072858624143,1.0469474739388362
4460,-58493.994573507225,307.2564331146278,1.0469474739388362
4470,-58394.369573507225,302.748592322694,1.0469474739388362
4480,-58543.244573507225,308.9474066522599,1.0469474739388362
4490,-58312.369573507225,299.5278276098538,1.0469474739388362
4500,-58494.682073507225,307.14114109715126,1.0469474739388362
4510,-58532.244573507225,307.28596500455507,1.0469474739388362
4520,-58404.432073507225,303.3621479004875,1.0469474739388362
4530,-58506.514623922645,307.4758518877207,1.0453077986311423
4540,-58456.764623922645,305.67938269879494,1.0453077986311423
4550,-58337.889623922645,298.0054862386188,1.0453077986311423
4560,-58492.827123922645,302.5294160342049,1.0453077986311423
4570,-58455.514623922645,302.17337291588495,1.0453077986311423
4580,-58638.43310695328,310.0414660982101,1.0539972244678026
4590,-58701.18310695328,312.7367400681815,1.0539972244678026
4600,-58664.80810695328,311.083585846261,1.0539972244678026
4610,-58683.05810695328,311.18357377080196,1.0539972244678026
4620,-58582.93310695328,305.23408895969555,1.0539972244678026
4630,-58538.05810695328,302.72169440024254,1.0539972244678026
4640,-58701.18310695328,309.8713649131249,1.0539972244678026
4650,-58484.37060695328,301.1720012031303,1.0539972244678026
4660,-58516.68310695328,303.12742984970305,1.0539972244678026
4670,-58515.93310695328,302.12134904562686,1.0539972244678026
4680,-58470.55810695328,301.8843258465448,1.0539972244678026
4690,-58488.18310695328,303.9764840591039,1.0539972244678026
4700,-58462.30810695328,304.28568462113896,1.0539972244678026
4710,-58433.30810695328,302.49573009790515,1.0539972244678026
4720,-58519.68310695328,306.7288799904964,1.0539972244678026
4730,-58342.08858067065,299.5902045447227,1.0534607678764827
4740,-58613.40108067065,310.16007447482485,1.0534607678764827
4750,-58548.65108067065,307.65623696457965,1.0534607678764827
4760,-58767.77608067065,316.04833659943716,1.0534607678764827
4770,-58566.77608067065,308.06316263382774,1.0534607678764827
4780,-58632.77608067065,309.4904942543795,1.0534607678764827
4790,-58669.52608067065,309.44090204604737,1.0534607678764827
4800,-58632.46397549927,308.5527840134194,1.0504728113293793
4810,-58574.90147549927,306.8559127062552,1.0504728113293793
4820,-58638.65147549927,310.5973633881311,1.0504728113293793
4830,-58561.52647549927,307.39128611612114,1.0504728113293793
